site_no,station_nm,Latitude,Longitude,year,SSC_mgL
st_s008,st_s008,63.6694402051841,-124.039209987153,1997,367.734233730536
st_s008,st_s008,63.6694402051841,-124.039209987153,1999,679.391409780027
st_s008,st_s008,63.6694402051841,-124.039209987153,2004,555.097410915216
st_s008,st_s008,63.6694402051841,-124.039209987153,2010,331.121764868362
st_s008,st_s008,63.6694402051841,-124.039209987153,2022,933.504020432779
st_s008,st_s008,63.6694402051841,-124.039209987153,2023,1247.61250895403
st_s008,st_s008,63.6694402051841,-124.039209987153,2000,423.900114057857
st_s008,st_s008,63.6694402051841,-124.039209987153,2001,424.956690694437
st_s008,st_s008,63.6694402051841,-124.039209987153,2002,454.63246455281
st_s008,st_s008,63.6694402051841,-124.039209987153,2012,755.819702267192
st_s008,st_s008,63.6694402051841,-124.039209987153,2013,390.867625499439
st_s008,st_s008,63.6694402051841,-124.039209987153,2014,469.524864081721
st_s008,st_s008,63.6694402051841,-124.039209987153,2015,393.618155210207
st_s008,st_s008,63.6694402051841,-124.039209987153,2016,305.499967565737
st_s008,st_s008,63.6694402051841,-124.039209987153,2017,731.381279646854
st_s008,st_s008,63.6694402051841,-124.039209987153,2019,1583.73079420292
st_s008,st_s008,63.6694402051841,-124.039209987153,2020,1358.93612960863
st_s008,st_s008,63.6694402051841,-124.039209987153,2021,1108.03442974637
st_s008,st_s008,63.6694402051841,-124.039209987153,2018,2047.84298880988
st_s008,st_s008,63.6694402051841,-124.039209987153,2024,1349.03650722628
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,1984,353.732090340351
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,1985,193.927602221004
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,1986,257.131167962069
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,1988,261.260990243081
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,1989,204.497458163455
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,1990,296.451833170463
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,1991,267.23504661825
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,1992,327.471914967451
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,1993,260.799514357548
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,1994,270.49929765843
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,1995,461.464018241677
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,1999,322.109830024454
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2003,325.398169845055
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2005,266.203326314004
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2006,236.681989915318
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2007,149.354668093766
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2008,356.124244426802
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2009,222.520810571887
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2010,249.385934353378
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2011,305.920008976
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,1987,106.671482212188
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,1996,305.678625496907
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,1997,227.859626695372
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,1998,156.610560171686
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2004,333.504713141655
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2000,397.915537728409
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2001,277.736269657636
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2002,332.068823546242
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2012,289.996797867142
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2013,306.628386018278
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2014,457.431940721015
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2015,304.831603076887
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2016,252.60132093186
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2017,432.67109562153
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2018,300.255036882294
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2020,314.971957440946
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2021,243.846301485167
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2022,239.135934731697
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2023,201.922660811428
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2019,308.557805012176
st_s008_ref,st_s008_ref,63.5575502052326,-124.154949987235,2024,288.670745821481
